directorName,directorMovieCount,directorAwardNominations,directorAwardWins
Pyotr Buslov,8,8,1
Erik Skjoldbjærg,12,7,5
Stephen Cornwell,4,2,1
Sean Anders,7,1,1
Christopher Spencer,1,2,0
Rintaro,43,2,1
Pablo Larraín,11,54,37
Chris Koch,39,2,2
James Cox,7,2,2
Andrew Bergman,6,2,5
Oren Rudavsky,14,8,1
Matt Walsh,9,7,4
Dave Fleischer,634,2,2
Yash Chopra,22,4,25
Melville Shavelson,20,8,6
George T. Miller,18,56,71
Raoul Walsh,139,5,2
Huck Botko,12,2,4
David Slade,24,5,4
Tibor Hernádi,6,1,1
Malcolm D. Lee,16,14,3
Harry Elfont,4,1,0
Don McKellar,14,37,24
Michael D. Sellers,5,3,3
Monte Hellman,21,1,3
Joe Johnston,15,7,2
Gurinder Chadha,16,9,16
Tony Liu Chun-Ku,36,0,0
István Szabó,36,18,44
Stuart Beattie,2,11,4
Stéphane Rybojad,3,0,0
Abdellatif Kechiche,8,40,61
Christian Robinson,1,0,0
Dan Cutforth,5,38,2
Lloyd Kaufman,54,7,8
João Pedro Rodrigues,17,39,31
Eric Bross,17,1,2
Hanna Sköld,4,7,2
Dax Shepard,6,2,0
Stiles White,1,0,0
Arnold Perl,1,5,2
Hwang Dong-hyuk,1,0,0
Tom McLoughlin,40,2,2
Lucile Hadzihalilovic,6,13,15
Mel Smith,6,1,1
Edmund Goulding,39,2,0
Lars von Trier,44,99,100
Doug Liman,23,7,2
William Friedkin,38,16,20
Andrew Jarecki,5,6,12
Bill Plympton,78,51,39
Gia Coppola,9,4,0
Don Sharp,38,0,0
Ben Stiller,18,59,13
Johan Grimonprez,12,1,7
Rupert Sanders,8,2,1
Michael McGowan,15,9,7
Chad Stahelski,7,4,0
Noah Buschel,7,3,3
Yoon Je-kyoon,1,0,0
Cody Cameron,1,0,0
Fernando Di Leo,23,0,0
Steve Pink,23,6,1
Brian De Palma,43,23,10
Jim Sheridan,13,50,37
J Blakeson,5,3,1
Will Koopman,34,4,5
Julian Jarrold,35,13,4
James Ponsoldt,16,8,4
Julien Duvivier,71,8,7
Eric Eason,3,5,7
Lauren Montgomery,14,0,0
Umberto Lenzi,65,0,0
Gilbert Adler,6,5,0
Joshua Michael Stern,5,0,0
Michael Pressman,62,5,3
Carlos Saldanha,12,15,4
Károly Makk,54,11,11
Rob Reiner,26,28,26
David Gleeson,5,3,4
Harry Beaumont,1,0,0
Abderrahmane Sissako,13,14,38
Inna Evlannikova,3,1,1
V. Z. Durai,41,2,2
Jorge Dorado,16,4,5
Lauren Lazin,23,16,5
Anand Tucker,16,6,2
Denis Villeneuve,17,78,74
Robby Henson,11,1,0
Michael Rowe,5,10,5
Chris Columbus,21,21,7
David Leland,13,4,8
Delphine Gleize,9,4,12
Lesli Linka Glatter,66,24,7
Jack Conway,113,1,2
"""Dean OFlaherty""",2,0,0
Wally Pfister,4,41,27
Zack Ward,4,1,2
Marek Kanievska,16,2,0
Paul Morrissey,25,5,1
Adam Green,25,6,9
Chatrichalerm Yukol,31,1,1
Nicole Garcia,10,20,7
Darren Stein,9,2,3
David Wain,30,10,7
Neill Blomkamp,26,36,13
Barbra Streisand,8,46,44
Simon Wells,7,4,0
Elaine May,5,15,9
Les Mayfield,10,3,3
Efrem Pruzhanskiy,14,0,0
Christopher Cain,22,2,1
Simon Brand,17,12,12
Shane Black,6,13,4
Jordan Peele,2,85,84
Michael Spierig,6,15,4
Kristian Levring,8,8,3
Lee Toland Krieger,15,1,2
Clive Donner,36,3,1
Sam Raimi,36,20,14
Steven E. de Souza,7,2,3
Jeremy Leven,2,0,0
Quentin Dupieux,10,13,5
Rachel Perkins,12,9,9
Spike Lee,82,78,53
Martin Ritt,30,13,4
Scott Waugh,5,1,1
Ross Katz,3,19,6
Jason Zada,6,3,3
John Lyde,42,0,0
"""Anthony OBrien""",2,3,3
Alexander Nevsky,1,0,0
Sara Newens,8,3,4
Julie Taymor,8,16,6
William Cameron Menzies,24,6,3
Sergio Castellitto,7,35,32
Ali Zafar,9,2,1
Ken Wiederhorn,12,1,1
Adam Sanderson,3,2,1
Andrea Di Stefano,2,0,0
